Company,Inches,ScreenResolution,Cpu_Company,Ram_in_GB,Memory,OpSys,Price,ScreenType,Gpu_Model,Cpu_Model,Memory_Type,Company_freq,Ram_in_GB_freq,Inches_freq,Memory_freq,Gpu_Company_orig,Gpu_Company_Amd,Gpu_Company_Arm,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_freq,ScreenType_Full HD ,ScreenType_IPS Panel ,ScreenType_IPS Panel Full HD ,ScreenType_IPS Panel Quad HD,ScreenType_IPS Panel Retina Display ,ScreenType_IPS Panel Touchscreen ,ScreenType_QHD ,ScreenType_Quad HD,ScreenType_Regular,ScreenType_Touchscreen ,Gpu_Model_freq,ScreenResolution_freq
HP,15.6,1920x1080,Intel,8,256GB,Windows 10,46833.12,Full HD ,GeForce 930MX ,Core i5 8250U 1.6GHz,SSD,279,619,677,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,5,809
Asus,15.6,1920x1080,Intel,4,1TB,Linux,20725.92,Full HD ,HD Graphics 620,Core i3 6006U 2GHz,HDD,160,375,677,260,Intel,0,0,1,0,62,1,0,0,0,0,0,0,0,0,0,270,809
Dell,15.6,1920x1080,Intel,16,256GB,Windows 10,79866.72,IPS Panel Full HD ,GeForce GTX 1060,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,301,216,677,508,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,45,809
Asus,15.6,1366x768,Intel,8,1TB,Linux,27864.91,Regular,GeForce 940MX,Core i5 7200U 2.5GHz,HDD,160,619,677,260,Nvidia,0,0,0,1,62,0,0,0,0,0,0,0,0,1,0,38,282
Acer,15.6,1920x1080,Intel,4,256GB,Windows 10,36336.96,IPS Panel Full HD ,UHD Graphics 620,Core i5 8250U 1.6GHz,SSD,107,375,677,508,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,68,809
Dell,17.3,1920x1080,Intel,12,1TB,Windows 10,53226.72,Full HD ,GeForce 150MX,Core i5 8250U 1.6GHz,HDD,301,25,171,260,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,3,809
Apple,13.3,2560x1600,Intel,8,256GB,macOS,75604.32,IPS Panel Retina Display ,Iris Graphics 540,Core i5 2.0GHz,SSD,21,619,164,508,Intel,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,2,13
Asus,17.3,1920x1080,AMD,8,256GB,Windows 10,69210.72,Full HD ,Radeon RX 580,Ryzen 1700 3GHz,SSD +  1TB HDD,160,619,171,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,5,809
Dell,15.6,1920x1080,Intel,4,256GB,Windows 10,34045.92,Full HD ,Radeon R5 M430,Core i5 7200U 2.5GHz,SSD,301,375,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,20,809
Asus,17.3,1366x768,Intel,4,1TB,Windows 10,24828.48,Regular,GeForce 920MX,Pentium Quad Core N4200 1.1GHz,HDD,160,375,171,260,Nvidia,0,0,0,1,1065,0,0,0,0,0,0,0,0,1,0,10,282
Lenovo,10.1,1920x1200,Intel,4,64GB,Android,16996.32,IPS Panel Touchscreen ,HD Graphics 400,Atom x5-Z8550 1.44GHz,Flash Storage,301,375,4,17,Intel,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,34,5
Acer,15.6,1920x1080,Intel,8,256GB,Windows 10,44808.48,IPS Panel Full HD ,GeForce MX150,Core i7 8550U 1.8GHz,SSD,107,619,677,508,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,10,809
HP,15.6,1920x1080,AMD,4,256GB,Windows 10,21231.55,Full HD ,Radeon R4 Graphics,A6-Series 9220 2.5GHz,SSD,279,375,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,4,809
